Task,Level,Institution,Exam Type,text_question,text_response,Criteria 0,Criteria 1,Criteria 2,Criteria 3,Criteria 0 AI Score,Criteria 1 AI Score,Criteria 2 AI Score,Criteria 3 AI Score,Criteria 0 Teacher Score,Criteria 1 Teacher Score,Criteria 2 Teacher Score,Criteria 3 Teacher Score
Email,B1,Cambridge,ceq,"\nFrom: Pauline\nSubject: Camping trip\nBody: \nHi Helen,\nI just had to write to find out how your trip to Wales went.\nDid you have good weather?\nAre you ready to go camping next week? Have you seen how many activities they offer? They have horse riding, surfing and rock-climbing. Which do you fancy?\nIn the evenings there are musical events, which I'm really looking forward to.\nWhere shall we meet on Saturday morning? Don't forget we need to leave early.\nSee you on Saturday.\nNotes: \n- Note 1:\n  Note: Did you have good weather?\n  Email Part: Inquiry about trip\n- Note 2:\n  Note: Which do you fancy?\n  Email Part: Question about activities\n- Note 3:\n  Note: Don't forget we need to leave early.\n  Email Part: Reminder about Saturday","Fom: Jack\nSubject: I tell a your email\nHi Sammy,\nIwant to very thank you for you go to my birthday party. I comunicate, me birthday party i have aplazate, because this dayis very cold but go to beach.\nI prefer a tennis racket of present, but it not necessary the present. I very forward for you.\nMy birthday party is celebrate the proxime 21st of augoust. I repart shoes and candies in the party. We eat at nine the night and after they sleeping in my house. You could sleep in my house? I excited with this party.\nBest wishes. I happy with you go to me birthday party.\nJack",Content,CommunicativeAchievement,Organization,Language,0,1,1,1,3,4,5,4
Email,B1,Cambridge,ceq,"\n    From: Pauline\n    Subject: Camping trip\n    Body: Hi Helen,\n    I just had to write to find out how your trip to Wales went. \n    Did you have good weather?\n    Are you ready to go camping next week? Have you seen how many activities they offer? They have horse riding, surfing and rock-climbing. Which do you fancy?\n    In the evenings there are musical events, which I'm really looking forward to.\n    Where shall we meet on Saturday morning? Don't forget we need to leave early.\n    See you on Saturday,\n    Notes: \n    - Note 1:\n      Note: Did you have good weather?\n      Email Part: Did you have good weather?\n    - Note 2:\n      Note: Have you seen how many activities they offer?\n      Email Part: Are you ready to go camping next week? Have you seen how many activities they offer?\n    - Note 3:\n      Note: In the evenings there are musical events\n      Email Part: In the evenings there are musical events, which I'm really looking forward to.\n","Fom: Helen\nSubject: answer your email\nHi Pauline,\nI see you email and tought about answering you. Thank for question me, i am loving Wales and much when travel a Wales. Imake very good time in generally, but the saturday it rained a little at night. \nI have very eager of go to the camping. Yes, they offer many activities , bessides in nature almost all. I fancy surfing, and you?\nI would like do you make surfng or other activity ustwo togheter. You like make activity with me?\nCan meet in café of next door your house. Yes you like we need to leave the nine pm.\nbye, wait you answer.\nHelen",Content,CommunicativeAchievement,Organization,Language,3,2,2,1,0,0,0,0
Email,B1,Cambridge,ceq,"\nRubric: You must answer this question. Write your answer in about 100 words on the answer sheet.\nTo: \nFrom: Ms Taylor\nSubject: New cooking club\nBody: Hi\n\nThanks for contacting me about my new club. My idea is to help you improve your English while you learn to cook delicious food!\n\nCould you please let me know if you’ve cooked much before?\n\nWe could cook foods from English-speaking countries, or we could all bring our favourite recipes from home. What do you think would be better?\n\nAre there any foods that we should avoid? I want to choose things that everybody can enjoy eating!\n\nBest wishes,\nMs Taylor\nNotes:\n- Note 1:\n  Note: Great!\n  Email Part: Thanks for contacting me about my new club. My idea is to help you improve your English while you learn to cook delicious food!\n- Note 2:\n  Note: Give Ms Taylor details\n  Email Part: Could you please let me know if you’ve cooked much before?\n- Note 3:\n  Note: Suggest\n  Email Part: What do you think would be better?\n- Note 4:\n  Note: Explain\n  Email Part: Are there any foods that we should avoid? I want to choose things that everybody can enjoy eating!\n","Hello!\n\nYou're welcame, I really like you're idea because i need to learn how to coock becaus i can't buy good everyday after work.\n\nI coock the basic to live alone but i'm bored of sanwiches, cereals with milk, pasta... because I always cook by the same food all time and I want to change a bit.\n\nI think is better english recipes because the club is in english and we can learn the culture of many countrys that talk in english and I think is more interesting than normal recipes like rice, chicken, fish.\n\nI don't like cheese and some vegetables or fruit, I don't like the flavour of tomatoes and oranges.\n\nBYE!\nJimena",Content,CommunicativeAchievement,Organization,Language,5,3,3,2,3,4,0,0
Email,B1,Cambridge,ceq,"\nRubric: You must answer this question. Write your answer in about 100 words on the answer sheet.\nTo: [Not provided]\nFrom: Ms Taylor\nSubject: New cooking club\nBoby: Hi\n\nThanks for contacting me about my new club. My idea is to help you improve your English while you learn to cook delicious food!\n\nCould you please let me know if you’ve cooked much before?\n\nWe could cook foods from English-speaking countries, or we could all bring our favourite recipes from home. What do you think would be better?\n\nAre there any foods that we should avoid? I want to choose things that everybody can enjoy eating!\n\nBest wishes,\nMs Taylor\nNotes:\n- Note 1:\n  Note: Great!\n  Email Part: Thanks for contacting me about my new club.\n- Note 2:\n  Note: Give Ms Taylor details\n  Email Part: Could you please let me know if you’ve cooked much before?\n- Note 3:\n  Note: Suggest\n  Email Part: What do you think would be better?\n- Note 4:\n  Note: Explain\n  Email Part: I want to choose things that everybody can enjoy eating!","Hello!\n\nYou're welcame, I really like you’re idea beacuse i need to learn how to coock beacuse I can’t buy good everyday after work.\n\nI coock the basic to live alone but I’m bored 🍕 of sandwichs, cereals with milk, pasta...beacuse I always cook/buy the same food all time and I want to change a bit.\n\nI think is better english recipies beacuse the club is in english and we can learn the culture of many countrys that talk in english and I think is more interesting than normal recipies like rice, chicken, fish...\n\nI don’t like cheese and 🍏 some vegetables or fruit, I don’t like the flavour of tomatoes and oranges.\n\nBYE!\nJimena",Content,CommunicativeAchievement,Organization,Language,5,3,3,2,0,0,0,0
Email,B1,Cambridge,ceq,"\nRubric: You must answer this question. Write your answer in about 100 words on the answer sheet.\nTo: \nFrom: Ms Taylor\nSubject: New cooking club\nBody: Hi\n\nThanks for contacting me about my new club. My idea is to help you improve your English while you learn to cook delicious food! \n\nCould you please let me know if you’ve cooked much before?\n\nWe could cook foods from English-speaking countries, or we could all bring our favourite recipes from home. What do you think would be better?\n\nAre there any foods that we should avoid? I want to choose things that everybody can enjoy eating!\n\nBest wishes,\nMs Taylor\nNotes: \n- Note 1:\n  Note: Great!\n  Email Part: Thanks for contacting me about my new club. My idea is to help you improve your English while you learn to cook delicious food!\n- Note 2:\n  Note: Give Ms Taylor details\n  Email Part: Could you please let me know if you’ve cooked much before?\n- Note 3:\n  Note: Suggest\n  Email Part: We could cook foods from English-speaking countries, or we could all bring our favourite recipes from home. What do you think would be better?\n- Note 4:\n  Note: Explain\n  Email Part: Are there any foods that we should avoid? I want to choose things that everybody can enjoy eating!","Hello!\n\nYou're welcame, I really like you're idea beacuse i need to learn how to coock beacuse I can't buy food everyday after work.\n\nI coock the basic to live alone but I'm bored of sandwiches, cereals with milk, pasta... because I always cook by the same food all time and i want to chang a bit.\n\nI think is better english recipes beacuse the club is in english and we can learn the cultre of many countrys that talk in english and I think is more interessting than normal recipes like rice, chicken, fish.\n\nI don't like cheese and some vegetables or fruit, i don't like the flavor of tomatoes and oranges.\n\nBYE!\nJimena",Content,CommunicativeAchievement,Organization,Language,5,3,3,2,0,0,0,0
Email,B1,Cambridge,ceq,"\nRubric: You must answer this question. Write your answer in about 100 words on the answer sheet.\n\nTo: \nFrom: Ms Taylor\nSubject: New cooking club\nBody: Hi\n\nThanks for contacting me about my new club. My idea is to help you improve your English while you learn to cook delicious food!\n\nCould you please let me know if you’ve cooked much before?\n\nWe could cook foods from English-speaking countries, or we could all bring our favourite recipes from home. What do you think would be better?\n\nAre there any foods that we should avoid? I want to choose things that everybody can enjoy eating!\n\nBest wishes,\nMs Taylor\n\nNotes:\n- Note 1:\n  Note: Great!\n  Email Part: Thanks for contacting me about my new club.\n- Note 2:\n  Note: Give Ms Taylor details\n  Email Part: Could you please let me know if you’ve cooked much before?\n- Note 3:\n  Note: Suggest\n  Email Part: What do you think would be better?\n- Note 4:\n  Note: Explain\n  Email Part: Are there any foods that we should avoid? I want to choose things that everybody can enjoy eating!","Hello!\n\nYou're welcame, I really like you're idea because i need to learn how to coock becawse I can't buy good everyday after work.\n\nI coock the basic to live alone but I'm bored of sandwiches, cereals with milk, pasta... because I always cook/buy the same food all time and I want to chang a bit.\n\nI think is better english recipes because the club is in english and we can learn the culture of many countrys that talk in english and I think is more intersting than normal recipes like rice, chicken, fish..\n\nI don't like cheese and some vegetables or fruit, I don't like the flavur of tomatoes and oranges.\n\nBYE!\nJimena",Content,Communicative Achievement,Organisation,Language,5,3,2,2,0,0,0,0
Email,B1,Cambridge,ceq,"Rubric: You have been part of a discussion about the advantages and disadvantages of technology for kids, and your teacher has asked you to write an essay on the subject. ‘Technology has a negative influence on kids.’ Do you agree?\n\nNotes: Write about:\n1. Educational websites.\n2. Time spent using technology.\n3. ......................... (Your own idea)\n\nWrite an ESSAY in 140 - 190 words, in an appropriate style, using all your notes.\nYou must give reasons for the ideas you express.","Nowadays young people spent more time on technologies than with friends or playing sports, in effect of the high development of technologies, while kids of years ago spent their free time in parks playing with their friends. \n\nFirstly, schools have changed their educational method, actually they use educational websites instead of books to teach to their students, what means that kids must have an ipad or computer in their houses to continue studiying by their own. Nevertheless an ipad or computer can be a distraction for kids, because they are used to play their videogames on the ipad and they will have the tentation of play their games instead of make their homework. \n\nSecondly, the kids of today spent a lot of time using technologies, they come home from school and eat watching youtube and then, in the evening, they stay all the time playing videogames and so everyday, what it can cause an antisocial problem. Furthermore spent all the day in front of a screen can produce eyes issues. \n\nFinally, kids that is all the day on technologies can develop ergonomic and sedentary problems wich can affect to their health, causing heart problems, obessity and muscular issues. \n\nIn conclusion, kids should have a maximum of time to be using technologies",Content,CommunicativeAchievement,Organization,Language,5,4,4,3,0,0,0,0
Email,B1,Cambridge,ceq,"Rubric: You have been part of a discussion about the effects of keeping animals in zoos, and your teacher has asked you to write an essay on the subject. 'Keeping animals in zoos is wrong.' Do you agree? Notes - Write about: 1. Animals becoming extinct. 2. Living conditions. 3. ....................... (Your own idea) Write an ESSAY in 140 - 190 words, in an appropriate style, using all your notes. You must give reasons for the ideas you express.","The debate on whether animals should be kept in zoos is controversial. Although zoos aim to protect endangered species and educate the public, many argue that keeping animals confined is unethical. In this essay, I will explore both sides and share my opinion.\nFirstly, zoos help prevent extinction. For example, species like pandas, and tigers have been saved through breeding programs.Consequently, zoos play a key role in conservation. However, the living conditions in zoos are often unsuitable. While wild animals roam freely, zoos confine them to small spaces. As a result, animals can suffer stress and health problems. Therefore, zoos cannot replicate natural habitats.\nMoreover, zoos often prioritize profit. For instance, they may focus on visitors instead of animal welfare and they make you understand that sanctuaries are the best place for animal.\nIn conclusion, despite theis conservation efforts, zoos harm animals. We should support alternatives that respect their freedom.",Content,CommunicativeAchievement,Organization,Language,5,5,5,4,0,0,0,0
Email,B1,Cambridge,ceq,"Rubric: Your friend from England has written you a letter. Write a LETTER in 140 - 190 words, in an appropriate style.\nBody: I have a maths exam next week and I don’t feel very confident. Do you think I should study alone in the library, or work with friends? What do you think the best way to revise is? I always get very nervous before exams. What do you think I should do?","Hi friend,\nI understand you in everything, because I have just took my math exam today, and last week I felt so insecure, but finally I realised that if I want to have a good mark I would have to be more confident, so I organised and this help me to have a good mark. I will give you some tips.\n\nFistly, If I were you I wouldn't study with friends, the key in maths is to be concentrate and get rid of distractions, so I don't think this conditions can be with friends. However if you have some doubts it could be a good idea to share with friends.\n\nSecondly, the most useful thing to study maths, is practising all the exercises you had done before, in class. In my opinion it is the only way to pass maths' exams.\n\nFinally, practising, being concentrating and out of distraction, you shouldn't be aware of the exam, so don't put nervous, you should think that you have done everything you could.",Content,CommunicativeAchievement,Organization,Language,5,5,4,3,0,0,0,0
Email,B1,Cambridge,ceq,"Rubric:  You have been part of a discussion about the advantages and disadvantages of technology for kids, and your teacher has asked you to write an essay on the subject.\n'Technology has a negative influence on kids.' Do you agree?\n\nNotes - Write about:\n1. Educational websites.\n2. Time spent using technology.\n3. ....................... (Your own idea)\n\nWrite an ESSAY in 140 - 190 words, in an appropriate style, using all your notes.\nYou must give reasons for the ideas you express.","Dear teacher, \nActually i think technology has a negative influence on kids,it is difficult to think because technology is one of the most importants things that humans have created in the history,but children usually make a bad use of it.\n\nTechnology has lots of websites where you can learn about what do you want,or research about the information that you really need.However kids do not use very well this website,for exampleif they have to research information for their homework they ussually copy information that they do not understand.\n\nAnother problem is the time that they spent using the technology.Firtsly the main problem is that they are going to have less vision of their eyes thanksfully to the lots of hours looking so nearly to a screen.\n\nAlso use the technology make to the kids being less sociable,this is because they spent the time in their house,unless hanging out with their friends and living new experiences in the street.I think this is one of the most important activitie that you have to do when you are a kid.\n\nIn conclusion,I am agree on take a minor use of technology,to have great experiences in the street with your friends.",Content,CommunicativeAchievement,Organization,Language,3,3,2,2,0,0,0,0
