Métrica,Criterio,GPT-41,GPT-4O,LLAMA4,GEMINI-2.5-FLASH
QWK,Content,0.593180937621077,0.5172644988266846,-0.10972568578553621,0.3314993122420907
QWK,Communicative Achievement,0.5634458672875436,0.6129641283826306,0.22823218997361472,0.3544655252198057
QWK,Organisation,0.6709991876523151,0.6788581623550402,0.08069458631256388,0.5246868091378039
QWK,Language,0.7098065376917946,0.588477366255144,0.11764705882352944,0.5709745762711864
Exact Match,Content,0.5333333333333333,0.5666666666666667,0.36666666666666664,0.43333333333333335
Exact Match,Communicative Achievement,0.5,0.6333333333333333,0.4,0.4
Exact Match,Organisation,0.5,0.4666666666666667,0.43333333333333335,0.5
Exact Match,Language,0.43333333333333335,0.36666666666666664,0.3333333333333333,0.4
±1 Accuracy,Content,0.7333333333333333,0.6333333333333333,0.4666666666666667,0.5
±1 Accuracy,Communicative Achievement,0.8,0.8,0.6333333333333333,0.7
±1 Accuracy,Organisation,0.8666666666666667,0.9666666666666667,0.7666666666666667,0.8
±1 Accuracy,Language,0.8666666666666667,0.7666666666666667,0.5666666666666667,0.7666666666666667
MAE,Content,0.9333333333333333,1.0666666666666667,1.7,1.6
MAE,Communicative Achievement,0.8,0.6333333333333333,1.1333333333333333,1.1666666666666667
MAE,Organisation,0.6333333333333333,0.6,0.9333333333333333,0.7666666666666667
MAE,Language,0.7,0.8666666666666667,1.2333333333333334,0.9333333333333333
